OPERATOR_ADDRESS,VALIDATOR_NAME,STAKED_AMOUNT,VOTING_POWER,COMMISSION,STATUS
terravaloper120ppepaj2lh5vreadx42wnjjznh55vvktp78wk,Allnodes.com ⚡️ Auto-compound (Ledger or Keplr),23730000,4.59,5,Active
terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh, polkachu.com,15040000,2.91,0,Active
terravaloper1gtw2uxdkdt3tvq790ckjz8jm8qgwkdw3uptstn,Terran One,11450000,2.22,10,Active
terravaloper1lelhxdzwn9ddecv6sv0kcxj5tguurxnzcfs5wf,Orbital Command,11130000,2.15,5,Active
terravaloper188e99yz54744uhr8xjfxmmplhnuw75xea55zfp,Smart Stake,11050000,2.14,5,Active
terravaloper1kxyzu575tex8dv6d5uk26t4q8x5lusw082w3t8,TCB @THORmaximalist,10900000,2.11,5,Active
terravaloper1wdymftapg5pcvf2aqw4pd0yuuh5w9m6yqdnukv,01node,10210000,1.98,5,Active
terravaloper10c04ysz9uznx2mkenuk3j3esjczyqh0j783nzt,SCV-Security,9020000,1.75,5,Active
terravaloper1ge3vqn6cjkk2xkfwpg5ussjwxvahs2f6at87yp,coinhall.org,9010000,1.74,5,Active
terravaloper1tthd0d5t6xksag3qp5cwvmyj7d6k9sktujnjrk,Mosaic,8510000,1.65,8,Active
terravaloper10qz4hfudfnllkgvhnm7k40dewg27nhxz3yn895,Inotel,8109999.999999999,1.57,10,Active
terravaloper1wzvgc8j840qtsfsa55kuf9cypqwa2tqnkrduqx,Aardvark,7720000,1.49,4,Active
terravaloper1jt8pcx4sesgztjkjsvjjqtvyfgcehqx09u4exq,Terrascope,7350000,1.42,0,Active
terravaloper14rftkw37eltf74degzajq4s5phg23vjlu9h9as,Setten,7100000,1.37,5,Active
terravaloper1e4sju9ya52l8ndjcneut4hg52y228360j0w86r,syncnode,6900000,1.34,10,Active
terravaloper18vnm040mwk0d6plc60v5m9h2376gkcphknuwzs,Prism Protocol | Delegate for airdrop,6850000,1.33,10,Active
terravaloper1ltegerwren4tcaxpwxpkgs94ztnrcu0sk9cajz,TheNFTProject,6540000,1.27,100,Active
terravaloper17kh8ngu3s74epwympaxrp4ukahm5rvtf5zc8ma,danku_zone w/ DAIC,6380000,1.24,5,Active
terravaloper1cqc26lnatzxvu0z5nd4yx8m4ecllkm7jlakwrw,CAPAPULT,6180000,1.2,5,Active
terravaloper1kepapcnh78hsk8nx2u9nv05rn7vjwwf4fr59zu,Interstellar Lounge 🥃 🍸 🍹,6150000,1.19,5,Active
terravaloper13qjxhnw98lm36rxc9yjakkmulhpv7zctdhcl03,Gidorah,5800000,1.12,5,Active
terravaloper17q3y0exn6ndxkf78rcvj70gp7mrezmdx4z54xu,ISS,5490000,1.06,4,Active
terravaloper1hr7svdp2rga9vf3ry95sx7g5wyspgwmg96vqg5,PFC - Panama Flower Company,5350000,1.04,5,Active
terravaloper1tz203ptlsfs8c63f2j0d0872pt5frjrvtfg0vd,🔥 LUNC DAO 🔥,5350000,1.04,10,Active
terravaloper1wwq9mfkkqfta334d4hcjrjau9y50a4hw37zhdl,StakeWithUs,5290000,1.02,5,Active
terravaloper1fs8g3mlg3f4f4yrckvwk7dk4lt3nv4gtx2uqwj,Centauri Alpha,5240000,1.02,4,Active
terravaloper15lsftv92eyssjwkh2393s0nhjc07kryqen2fqf,Galactic Punks Validator,5180000,1,5,Active
terravaloper1mh0zq89rggupayas2jlfffcyshaf4ep2j09jyv,Flipside,4910000,0.95,20,Active
terravaloper1s6j9wxyprdsxmdf6mvsegsldvmtk0p92pa7aey,TERRA-FIRMA,4790000,0.93,5,Active
terravaloper1wr0p7dzss74wfmzfqm8r65mk26efg5zhzpm77s,White Whale,4640000,0.9,10,Active
terravaloper18pmvpy25zc7x0u8ppefuyyl2zaafe2wut0nm5e,Y,4570000,0.88,5,Active
