VALIDATOR_NAME,STATUS,OPERATOR_ADDRESS,ASACCOUNT_ADDRESS,VOTING_POWER,STAKED_AMOUNT,SELF_DELEGATION_AMOUNT,COMMISSION
Allnodes.com ⚡️ Auto-compound (Ledger or Keplr),Active,terravaloper120ppepaj2lh5vreadx42wnjjznh55vvktp78wk,terra120ppepaj2lh5vreadx42wnjjznh55vvktwj679,1.98,12615927,5125.424019,0
North Star,Active,terravaloper1tjywsl9vf34rh4exer4mhxsrqqh9hy9j9t6gkr,terra1tjywsl9vf34rh4exer4mhxsrqqh9hy9j9yk4xs,0.42,2163402,2,2
Defi Suffrage,Active,terravaloper1w6pd8at32vh8r2kz8me8c6535sfwhjzkuennrf,terra1w6pd8at32vh8r2kz8me8c6535sfwhjzkuklwn6,0.57,4010577,701,10
NITAWA,Active,terravaloper150pqxd0j27mjg4yy4fafhkm7gfhsk8xvyfft0y,terra150pqxd0j27mjg4yy4fafhkm7gfhsk8xvyx9klh,0.73,3801439,88,10
Sapient Nodes,Active,terravaloper12y453v20w2dlv2y0vlepf88ng0r6sfsz6k7qm4,terra12y453v20w2dlv2y0vlepf88ng0r6sfsz6ejatx,0.65,3497682,99,5
NodeZombie | 0% Commission and 1% MAX commission.,Inactive,terravaloper1rx8es8n64979ttp23w2hvssm5m0qfdp3a6ayj4,terra1rx8es8n64979ttp23w2hvssm5m0qfdp3a43ezx,0,0,5,0
Tezro,Inactive,terravaloper10443zhx9hjt63ha92492qw3e7l7q2pnjd9ft8z,terra10443zhx9hjt63ha92492qw3e7l7q2pnjd29kh3,0,0,10,10
✅ CryptoCrew - 100% MEV revenue to $LUNA stakers! #IBCgang #REstake,Active,terravaloper199fjq4rnfvz24cktl8cervx8h8e90rukmgdv5x,terra199fjq4rnfvz24cktl8cervx8h8e90rukm8p3y4,0.56,3024979,1,5
AthensProject,Inactive,terravaloper1dmkdw7q23acc72knqv9yu46pz2m363705cnt27,terra1dmkdw7q23acc72knqv9yu46pz2m363705hlk6d,0,0,1,0
Mario,Active,terravaloper1rgdps79da300t87twwkcly6ec3vlpgpfgnsel5,terra1rgdps79da300t87twwkcly6ec3vlpgpfguuy08,0.56,2980787,1.9999,8
Easy 2 Stake,Active,terravaloper1kgn6zznfq2xwrw3hrh7qtqjwu98es7vt8azjl3,terra1kgn6zznfq2xwrw3hrh7qtqjwu98es7vt8jw00z,0.69,2671776,2403,5
8moon,Active,terravaloper1uv45luc5fzq66u9enmnv44k8c7j2zuge5kr60r,terra1uv45luc5fzq66u9enmnv44k8c7j2zuge5e08ls,0.38,1923709,9582,20
Moon Platoon,Active,terravaloper1j4cc2p4f4t4m3z37gumr6cr64vm605aa4wmcyf,terra1j4cc2p4f4t4m3z37gumr6cr64vm605aa4ph956,0.62,3305285,2.706896,20
Shut down,Inactive,terravaloper13fkxypqa0e3lvzu2fay7mslc2xsghv26a3a7jl,terra13fkxypqa0e3lvzu2fay7mslc2xsghv26a73rzv,0,0,7.9995,4
Long Live Luna,Active,terravaloper1arm3fzjp7qv8e5gyhraeykcpjte6wh562yre97,terra1arm3fzjp7qv8e5gyhraeykcpjte6wh562t0y4d,0,0,90,20
Hex Trust,Jailed,terravaloper135rv58zmcs6usxazsqrc70uwc4mlxkwdlhmlu9,terra135rv58zmcs6usxazsqrc70uwc4mlxkwdlchzvk,0,1964675,0.9999,10
MissionControl,Active,terravaloper1sextn6xd46edrc02tf6d2fysmqw62qu7ng3kkm,terra1sextn6xd46edrc02tf6d2fysmqw62qu7n8atxg,0.43,3252668,250,5
